"X","Y"
935.5485,2922.283
970.5056,2924.847
928.0192,2700.392
934.1109,2712.993
992.851,2859.289
924.2961,2900.071
925.0698,2818.965
996.0769,2859.956
904.6768,2626.901
922.7701,2687.409
995.3829,2990.144
906.3014,2682.681
949.4626,2991.599
978.377,3091.122
908.0839,2573.025
998.4055,3123.16
932.706,2854.845
921.2517,2744.593
910.0325,2790.633
974.309,2897.69
995.0179,2818.568
960.0519,3062.44
969.8075,2972.055
936.2326,2759.049
912.775,2701.137
968.5422,2877.967
972.759,2889.773
928.0252,2762.356
948.178,2973.349
950.1467,2869.011
981.1734,3065.545
991.2698,3062.326
986.0193,3027.959
936.3569,2864.661
992.2468,2926.863
941.9028,2899.409
957.0091,2896.382
999.5585,2791.406
941.1213,2626.629
998.7451,2963.982
974.2378,2900.149
934.7484,2863.141
986.2063,3124.928
983.7651,3005.287
904.6819,2756.742
906.9218,2949.366
994.831,2991.701
939.1905,2801.934
941.2725,2998.209
931.6652,2768.868
929.8639,2614.589
986.7586,3008.882
982.9394,2859.653
954.1179,2884.51
963.3567,2760.023
922.3655,2847.816
921.1119,2782.947
939.8035,2844.477
912.5908,2606.599
976.4545,2914.438
969.0183,2876.485
900.1557,2763.147
923.2582,2765.703
912.6567,2661.127
953.4795,2866.831
947.1476,2656.003
923.5292,2764.659
960.0233,2738.372
970.2517,2972.183
919.9656,2595.544
937.0527,2866.786
994.811,2945.374
995.7955,2976.406
995.3034,2881.843
985.0028,2918.073
972.6615,2975.32
920.9234,2537.333
982.1326,2916.969
994.2593,3033.106
946.0969,2834.665
989.3677,3068.947
933.2754,2750.929
992.7746,3165.969
961.7581,2984.85
971.0451,2916.626
926.2244,2734.829
997.32,3087.763
910.6666,2781.689
965.6648,3014.377
969.8894,2835.057
903.7719,2695.59
921.1928,2781.745
944.0544,2727
961.073,2972.099
966.2709,2951.822
929.0355,2726.055
921.5484,2828.381
932.6916,2928.043
973.2028,2885.39
991.4025,2888.101
